subj,trial,S,R,RT,correct,instruction
as1t,73,2,2,0.411,TRUE,neutral
as1t,74,2,1,0.7205,FALSE,neutral
as1t,75,1,2,0.4949,FALSE,speed
as1t,76,1,1,0.4455,TRUE,speed
as1t,77,2,2,0.4926,TRUE,accuracy
as1t,78,1,1,0.3879,TRUE,neutral
as1t,79,2,2,0.465,TRUE,neutral
as1t,80,2,1,0.4222,FALSE,speed
as1t,81,1,1,0.4399,TRUE,speed
as1t,82,2,2,0.4755,TRUE,accuracy
as1t,83,1,1,0.6957,TRUE,accuracy
as1t,84,2,2,0.5289,TRUE,accuracy
as1t,85,2,2,0.5916,TRUE,speed
as1t,86,2,1,0.3304,FALSE,speed
as1t,87,1,2,0.5636,FALSE,accuracy
as1t,88,1,1,0.4408,TRUE,speed
as1t,89,2,2,0.463,TRUE,speed
as1t,90,1,1,0.4236,TRUE,accuracy
as1t,91,2,2,0.4592,TRUE,accuracy
as1t,92,1,2,0.2693,FALSE,speed
as1t,93,1,2,0.2952,FALSE,speed
as1t,94,2,2,0.4789,TRUE,accuracy
as1t,95,1,1,0.3169,TRUE,speed
as1t,96,2,1,0.3923,FALSE,neutral
as1t,98,1,1,0.4053,TRUE,speed
as1t,100,1,1,0.5048,TRUE,neutral
as1t,101,1,1,0.4835,TRUE,neutral
as1t,102,2,2,0.5265,TRUE,neutral
as1t,103,2,2,0.4513,TRUE,accuracy
as1t,104,2,2,0.4731,TRUE,accuracy
as1t,105,2,2,0.4288,TRUE,speed
as1t,106,2,2,0.4477,TRUE,neutral
as1t,107,2,2,0.5573,TRUE,accuracy
as1t,108,2,2,0.4584,TRUE,neutral
as1t,109,1,1,0.4639,TRUE,neutral
as1t,110,2,2,0.7772,TRUE,speed
as1t,111,2,2,0.4252,TRUE,neutral
as1t,112,2,2,0.3848,TRUE,speed
as1t,113,2,2,0.4019,TRUE,accuracy
as1t,115,1,1,0.5508,TRUE,neutral
as1t,116,1,1,0.3627,TRUE,speed
as1t,117,2,2,0.4297,TRUE,accuracy
as1t,118,1,1,0.4747,TRUE,accuracy
as1t,119,2,2,0.4237,TRUE,accuracy
as1t,120,2,1,0.4207,FALSE,neutral
as1t,121,1,2,0.3172,FALSE,speed
as1t,122,2,2,0.4012,TRUE,neutral
as1t,123,1,1,0.5346,TRUE,neutral
as1t,124,2,2,0.4813,TRUE,neutral
as1t,125,1,1,0.5952,TRUE,accuracy
as1t,127,1,2,0.3472,FALSE,accuracy
as1t,128,2,2,0.4643,TRUE,neutral
as1t,129,2,2,0.4814,TRUE,speed
as1t,130,1,1,0.401,TRUE,neutral
as1t,131,2,2,0.3694,TRUE,neutral
as1t,132,1,1,0.3772,TRUE,accuracy
as1t,133,1,1,0.5742,TRUE,speed
as1t,134,2,2,0.3782,TRUE,neutral
as1t,135,2,1,0.4619,FALSE,neutral
as1t,136,2,2,0.4138,TRUE,neutral
as1t,137,1,1,0.4528,TRUE,accuracy
as1t,138,2,2,0.3655,TRUE,accuracy
as1t,139,2,2,0.3399,TRUE,accuracy
as1t,140,2,2,0.479,TRUE,neutral
as1t,141,2,2,0.393,TRUE,neutral
as1t,142,2,2,0.3841,TRUE,accuracy
as1t,143,1,1,0.6002,TRUE,neutral
as1t,144,1,1,0.4669,TRUE,speed
as1t,145,2,2,0.4466,TRUE,speed
as1t,146,2,2,0.456,TRUE,neutral
as1t,147,1,1,0.4601,TRUE,accuracy
as1t,148,1,1,0.3923,TRUE,accuracy
as1t,149,2,2,0.4067,TRUE,speed
as1t,150,1,1,0.6388,TRUE,accuracy
as1t,151,2,2,0.3722,TRUE,neutral
as1t,152,2,1,0.5878,FALSE,neutral
as1t,153,1,2,0.4227,FALSE,speed
as1t,154,2,2,0.3978,TRUE,speed
as1t,155,1,2,0.4178,FALSE,accuracy
as1t,156,1,2,0.7814,FALSE,accuracy
as1t,157,1,2,0.4248,FALSE,speed
as1t,158,2,1,0.4782,FALSE,neutral
as1t,159,1,1,0.4422,TRUE,neutral
as1t,160,1,1,0.5291,TRUE,speed
as1t,161,2,1,0.2508,FALSE,speed
as1t,162,2,1,0.3542,FALSE,accuracy
as1t,163,1,2,0.2742,FALSE,speed
as1t,164,1,2,0.4646,FALSE,accuracy
as1t,165,2,2,0.4665,TRUE,accuracy
as1t,166,1,1,0.4027,TRUE,neutral
as1t,167,2,2,0.3085,TRUE,speed
as1t,168,1,1,0.4583,TRUE,accuracy
as1t,169,1,1,0.6759,TRUE,neutral
as1t,170,2,2,0.5509,TRUE,speed
as1t,171,1,1,0.4365,TRUE,neutral
as1t,172,1,2,0.5855,FALSE,neutral
as1t,173,2,2,0.552,TRUE,speed
as1t,174,2,2,0.4266,TRUE,speed
as1t,175,1,1,0.4857,TRUE,accuracy
as1t,176,1,1,0.6528,TRUE,accuracy
as1t,177,2,2,0.48,TRUE,neutral
as1t,178,2,2,0.5891,TRUE,neutral
as1t,179,2,2,0.3986,TRUE,speed
as1t,180,2,2,0.4201,TRUE,accuracy
as1t,181,1,1,0.7018,TRUE,neutral
as1t,182,1,2,0.4592,FALSE,accuracy
as1t,183,2,2,0.5463,TRUE,speed
as1t,184,1,1,0.4831,TRUE,speed
as1t,185,2,2,0.391,TRUE,neutral
as1t,186,1,1,0.4486,TRUE,speed
as1t,187,1,2,0.5876,FALSE,neutral
as1t,189,1,1,0.4442,TRUE,speed
as1t,190,1,1,0.6047,TRUE,neutral
as1t,191,2,1,0.4358,FALSE,neutral
as1t,192,2,2,0.4746,TRUE,speed
as1t,193,1,2,0.3632,FALSE,accuracy
as1t,194,1,2,0.5256,FALSE,accuracy
as1t,195,2,2,0.402,TRUE,neutral
as1t,196,1,1,0.6796,TRUE,speed
as1t,197,1,1,0.7914,TRUE,speed
as1t,198,2,2,0.4348,TRUE,speed
as1t,199,1,2,0.6568,FALSE,neutral
as1t,201,1,2,0.6033,FALSE,neutral
as1t,202,2,2,0.5513,TRUE,accuracy
as1t,203,2,1,0.5813,FALSE,neutral
as1t,204,2,2,0.525,TRUE,accuracy
as1t,205,2,2,0.2798,TRUE,speed
as1t,207,1,1,0.2523,TRUE,speed
as1t,208,2,1,0.3321,FALSE,speed
as1t,209,2,2,0.4299,TRUE,accuracy
as1t,210,1,1,0.5173,TRUE,neutral
as1t,211,1,2,0.6356,FALSE,speed
as1t,212,2,2,0.4517,TRUE,accuracy
as1t,213,1,1,0.675,TRUE,neutral
as1t,214,2,2,0.4096,TRUE,neutral
as1t,215,2,2,0.4336,TRUE,accuracy
as1t,216,1,1,0.4569,TRUE,neutral
as1t,217,1,1,0.409,TRUE,accuracy
as1t,218,2,2,0.492,TRUE,neutral
as1t,219,1,1,0.6233,TRUE,accuracy
as1t,220,2,2,0.4498,TRUE,accuracy
as1t,222,2,2,0.498,TRUE,accuracy
as1t,223,2,2,0.4112,TRUE,accuracy
as1t,224,2,2,0.2876,TRUE,speed
as1t,225,2,1,0.3355,FALSE,speed
as1t,226,2,2,0.3671,TRUE,speed
as1t,227,2,2,0.5044,TRUE,accuracy
as1t,228,2,2,0.4332,TRUE,accuracy
as1t,229,1,1,0.5173,TRUE,neutral
as1t,230,1,1,0.4167,TRUE,speed
as1t,231,1,2,0.6077,FALSE,speed
as1t,232,1,1,0.5463,TRUE,speed
as1t,233,1,1,0.6583,TRUE,speed
as1t,234,2,2,0.5603,TRUE,neutral
as1t,235,1,1,0.5375,TRUE,speed
as1t,236,1,1,0.4121,TRUE,speed
as1t,237,1,1,0.4699,TRUE,accuracy
as1t,238,1,1,0.4044,TRUE,speed
as1t,239,2,2,0.4536,TRUE,accuracy
as1t,240,2,1,0.6896,FALSE,accuracy
as1t,241,2,2,0.3712,TRUE,neutral
as1t,242,2,2,0.3519,TRUE,accuracy
as1t,243,1,1,0.4314,TRUE,neutral
as1t,244,2,2,0.4011,TRUE,accuracy
as1t,245,2,2,0.4584,TRUE,neutral
as1t,246,2,2,0.3586,TRUE,accuracy
as1t,247,2,2,0.4882,TRUE,speed
as1t,248,1,2,0.4748,FALSE,neutral
as1t,249,1,1,0.5834,TRUE,speed
as1t,250,2,2,0.3367,TRUE,accuracy
as1t,251,2,1,0.4662,FALSE,neutral
as1t,252,1,1,0.5583,TRUE,accuracy
as1t,253,2,2,0.382,TRUE,neutral
as1t,255,1,1,0.4591,TRUE,accuracy
as1t,256,2,2,0.4927,TRUE,accuracy
as1t,257,1,1,0.4766,TRUE,speed
as1t,258,2,2,0.4957,TRUE,accuracy
as1t,259,2,1,0.5469,FALSE,accuracy
as1t,260,1,1,0.4361,TRUE,accuracy
as1t,261,1,1,0.382,TRUE,speed
as1t,262,1,2,0.4984,FALSE,speed
as1t,263,1,1,0.437,TRUE,neutral
as1t,264,2,2,0.4367,TRUE,accuracy
as1t,265,2,1,0.3845,FALSE,neutral
as1t,266,1,1,0.6772,TRUE,neutral
as1t,267,2,2,0.4187,TRUE,neutral
as1t,268,1,2,0.4819,FALSE,accuracy
as1t,269,2,2,0.3619,TRUE,speed
as1t,270,2,2,0.5692,TRUE,accuracy
as1t,271,1,1,0.4684,TRUE,speed
as1t,272,1,1,0.3691,TRUE,speed
as1t,273,2,2,0.4472,TRUE,accuracy
as1t,274,2,1,0.4135,FALSE,neutral
as1t,276,1,1,0.3386,TRUE,speed
as1t,277,1,1,0.3522,TRUE,neutral
as1t,278,2,2,0.3882,TRUE,accuracy
as1t,279,2,1,0.4852,FALSE,accuracy
as1t,280,2,2,0.3567,TRUE,accuracy
as1t,281,1,1,0.4128,TRUE,speed
as1t,282,2,2,0.3609,TRUE,accuracy
as1t,283,1,1,0.4359,TRUE,neutral
as1t,284,2,2,0.4232,TRUE,speed
as1t,285,1,1,0.5396,TRUE,speed
as1t,286,1,1,0.4162,TRUE,accuracy
as1t,287,1,1,0.422,TRUE,accuracy
as1t,288,1,2,0.4698,FALSE,neutral
as1t,290,1,1,0.4827,TRUE,neutral
as1t,291,1,2,0.4768,FALSE,neutral
as1t,292,2,2,0.585,TRUE,neutral
as1t,293,1,1,0.4128,TRUE,neutral
as1t,294,1,2,0.4402,FALSE,neutral
as1t,295,2,2,0.7228,TRUE,speed
as1t,296,1,2,0.6428,FALSE,accuracy
as1t,297,1,1,0.4409,TRUE,neutral
as1t,298,2,2,0.4642,TRUE,accuracy
as1t,299,2,1,0.4315,FALSE,accuracy
as1t,300,1,2,0.6628,FALSE,accuracy
as1t,301,1,2,0.7461,FALSE,neutral
as1t,302,1,1,0.5233,TRUE,speed
as1t,303,2,2,0.5865,TRUE,speed
as1t,304,2,2,0.5548,TRUE,accuracy
as1t,305,1,1,0.4716,TRUE,neutral
as1t,306,1,1,0.4277,TRUE,accuracy
as1t,307,2,2,0.4423,TRUE,neutral
as1t,309,1,1,0.4188,TRUE,speed
as1t,310,1,1,0.4141,TRUE,neutral
as1t,311,2,1,0.4767,FALSE,accuracy
as1t,312,1,1,0.7544,TRUE,accuracy
as1t,313,1,1,0.2666,TRUE,speed
as1t,314,2,2,0.5793,TRUE,accuracy
as1t,315,1,1,0.5217,TRUE,accuracy
as1t,316,2,2,0.4692,TRUE,accuracy
as1t,317,2,2,0.3557,TRUE,speed
as1t,318,1,1,0.5117,TRUE,neutral
as1t,319,2,2,0.4572,TRUE,neutral
as1t,320,2,2,0.5874,TRUE,neutral
as1t,321,1,1,0.68,TRUE,neutral
as1t,322,2,1,0.5287,FALSE,speed
as1t,323,2,1,0.6025,FALSE,neutral
as1t,325,1,2,0.5145,FALSE,speed
as1t,326,1,1,0.4178,TRUE,accuracy
as1t,327,1,1,0.4074,TRUE,neutral
as1t,328,2,2,0.5551,TRUE,accuracy
as1t,329,1,1,0.5009,TRUE,speed
as1t,330,2,2,0.6435,TRUE,speed
as1t,331,2,1,0.8565,FALSE,neutral
as1t,332,1,1,0.6585,TRUE,neutral
as1t,333,2,2,0.716,TRUE,accuracy
as1t,334,2,2,0.5658,TRUE,neutral
as1t,335,2,2,0.4019,TRUE,accuracy
as1t,336,1,1,0.479,TRUE,neutral
as1t,337,2,2,0.3955,TRUE,neutral
as1t,338,1,1,0.6886,TRUE,speed
as1t,339,2,2,0.4796,TRUE,accuracy
as1t,340,1,1,0.4081,TRUE,accuracy
as1t,341,1,1,0.6296,TRUE,neutral
as1t,342,2,2,0.4484,TRUE,speed
as1t,343,2,2,0.3245,TRUE,speed
as1t,344,1,2,0.4453,FALSE,speed
as1t,345,2,2,0.4416,TRUE,accuracy
as1t,346,2,2,0.4569,TRUE,accuracy
as1t,347,1,1,0.3835,TRUE,speed
as1t,348,2,2,0.4268,TRUE,speed
as1t,349,2,2,0.6632,TRUE,neutral
as1t,350,2,1,0.5473,FALSE,neutral
as1t,351,2,2,0.4068,TRUE,neutral
as1t,352,1,2,0.4656,FALSE,accuracy
as1t,353,2,2,0.4445,TRUE,accuracy
as1t,354,1,1,0.7392,TRUE,neutral
as1t,355,1,1,0.7759,TRUE,accuracy
as1t,356,2,2,0.4904,TRUE,accuracy
as1t,357,1,1,0.4984,TRUE,speed
as1t,358,2,2,0.6866,TRUE,accuracy
as1t,359,2,2,0.5258,TRUE,accuracy
as1t,360,1,1,0.4929,TRUE,accuracy
as1t,361,1,2,0.4555,FALSE,accuracy
as1t,362,2,1,0.6289,FALSE,speed
as1t,363,1,1,0.4632,TRUE,neutral
as1t,364,2,2,0.5156,TRUE,neutral
as1t,365,2,2,0.7106,TRUE,accuracy
as1t,366,2,2,0.499,TRUE,speed
as1t,367,1,1,0.5708,TRUE,speed
as1t,368,2,2,0.474,TRUE,accuracy
as1t,369,2,2,0.4638,TRUE,accuracy
as1t,370,1,1,0.4746,TRUE,speed
as1t,371,1,1,0.4371,TRUE,speed
as1t,372,2,2,0.5902,TRUE,neutral
as1t,373,1,1,0.4809,TRUE,speed
as1t,374,2,2,0.5002,TRUE,speed
as1t,375,2,2,0.5775,TRUE,speed
as1t,376,1,2,0.3824,FALSE,neutral
as1t,377,1,1,0.4268,TRUE,accuracy
as1t,378,1,2,0.4643,FALSE,speed
as1t,379,1,1,0.4541,TRUE,speed
as1t,381,2,1,0.485,FALSE,neutral
as1t,382,2,2,0.5349,TRUE,neutral
as1t,383,2,2,0.3091,TRUE,speed
as1t,384,2,1,0.301,FALSE,speed
as1t,385,2,2,0.3443,TRUE,neutral
as1t,386,2,2,0.3693,TRUE,accuracy
as1t,387,2,2,0.4743,TRUE,accuracy
as1t,389,2,2,0.3053,TRUE,accuracy
as1t,390,2,1,0.3467,FALSE,neutral
as1t,391,2,2,0.3113,TRUE,neutral
as1t,392,1,1,0.4046,TRUE,speed
as1t,393,1,2,0.4999,FALSE,speed
as1t,394,1,1,0.5724,TRUE,accuracy
as1t,395,1,2,0.3045,FALSE,neutral
as1t,396,2,2,0.5084,TRUE,neutral
as1t,397,1,2,0.5888,FALSE,accuracy
as1t,398,2,2,0.4841,TRUE,speed
as1t,399,2,2,0.3697,TRUE,accuracy
as1t,400,2,2,0.9912,TRUE,accuracy
as1t,401,1,1,0.522,TRUE,accuracy
as1t,402,2,2,0.472,TRUE,neutral
as1t,403,1,1,0.3791,TRUE,neutral
as1t,404,1,1,0.5724,TRUE,neutral
as1t,405,2,2,0.5767,TRUE,neutral
as1t,406,2,2,0.4022,TRUE,neutral
as1t,407,1,1,0.6029,TRUE,neutral
as1t,408,1,2,0.5423,FALSE,accuracy
as1t,409,2,2,0.4947,TRUE,speed
as1t,410,1,1,0.5496,TRUE,accuracy
as1t,411,2,2,0.5482,TRUE,neutral
as1t,412,2,2,0.4215,TRUE,accuracy
as1t,413,1,1,0.4514,TRUE,accuracy
as1t,414,2,2,0.3769,TRUE,neutral
as1t,415,1,2,0.4593,FALSE,speed
as1t,416,2,2,0.4322,TRUE,neutral
as1t,417,1,1,0.5575,TRUE,accuracy
as1t,418,2,2,0.5047,TRUE,accuracy
as1t,419,1,1,0.572,TRUE,accuracy
as1t,420,1,2,0.5522,FALSE,neutral
as1t,421,1,2,0.4058,FALSE,accuracy
as1t,422,1,1,0.4881,TRUE,neutral
as1t,423,2,2,0.3836,TRUE,neutral
as1t,424,2,2,0.4176,TRUE,speed
as1t,425,1,2,0.5459,FALSE,neutral
as1t,426,2,2,0.4428,TRUE,accuracy
as1t,427,2,2,0.4054,TRUE,accuracy
as1t,428,1,1,0.4755,TRUE,speed
as1t,429,1,1,0.4716,TRUE,speed
as1t,430,2,2,0.6224,TRUE,neutral
as1t,431,2,2,0.451,TRUE,speed
as1t,432,1,1,0.5376,TRUE,neutral
as1t,433,2,2,0.5971,TRUE,speed
as1t,434,1,1,0.7023,TRUE,neutral
as1t,436,2,1,0.4679,FALSE,neutral
as1t,437,1,2,0.6829,FALSE,neutral
as1t,438,1,1,0.6998,TRUE,accuracy
as1t,439,1,1,0.5494,TRUE,neutral
as1t,440,1,1,0.4187,TRUE,neutral
as1t,441,1,2,0.4227,FALSE,accuracy
as1t,442,2,2,0.5228,TRUE,neutral
as1t,443,2,2,0.5912,TRUE,neutral
as1t,444,2,2,0.4216,TRUE,neutral
as1t,445,2,2,0.5025,TRUE,accuracy
as1t,446,2,2,0.4498,TRUE,accuracy
as1t,447,1,1,0.5198,TRUE,speed
as1t,448,1,1,0.4057,TRUE,accuracy
as1t,449,2,2,0.4566,TRUE,speed
as1t,450,2,1,0.6181,FALSE,neutral
as1t,451,1,2,0.4917,FALSE,neutral
as1t,452,2,2,0.5861,TRUE,accuracy
as1t,453,2,2,0.8328,TRUE,neutral
as1t,454,1,1,0.6707,TRUE,speed
as1t,455,1,1,0.5711,TRUE,speed
as1t,456,2,2,0.4784,TRUE,neutral
as1t,457,1,1,0.7311,TRUE,neutral
as1t,459,2,2,0.5818,TRUE,accuracy
as1t,460,1,1,0.6683,TRUE,speed
as1t,461,1,1,0.4194,TRUE,accuracy
as1t,462,1,1,0.7011,TRUE,accuracy
as1t,463,2,2,0.5871,TRUE,accuracy
as1t,464,2,2,0.5701,TRUE,neutral
as1t,465,2,1,0.3587,FALSE,neutral
as1t,466,2,2,0.3526,TRUE,speed
as1t,467,2,2,0.2969,TRUE,speed
as1t,469,2,2,0.3871,TRUE,accuracy
as1t,470,1,2,0.3434,FALSE,speed
as1t,472,1,2,0.5736,FALSE,neutral
as1t,473,2,2,0.3981,TRUE,accuracy
as1t,474,2,2,0.3372,TRUE,accuracy
as1t,475,2,2,0.535,TRUE,accuracy
as1t,476,1,1,0.4565,TRUE,speed
as1t,477,1,1,0.3762,TRUE,neutral
as1t,478,2,1,0.388,FALSE,neutral
as1t,479,1,2,0.4163,FALSE,accuracy
as1t,480,2,1,0.6115,FALSE,neutral
as1t,481,2,2,0.4045,TRUE,speed
as1t,482,2,2,0.516,TRUE,neutral
as1t,483,2,2,0.6016,TRUE,accuracy
as1t,484,1,1,0.4659,TRUE,neutral
as1t,485,2,2,0.4315,TRUE,speed
as1t,486,1,1,1.1555,TRUE,neutral
as1t,487,2,2,0.3953,TRUE,accuracy
as1t,488,1,2,0.4535,FALSE,neutral
as1t,489,1,1,0.644,TRUE,accuracy
as1t,490,1,1,0.4852,TRUE,speed
as1t,491,2,2,0.3381,TRUE,neutral
as1t,493,2,1,0.4528,FALSE,accuracy
as1t,494,2,2,0.5129,TRUE,neutral
as1t,496,2,2,0.581,TRUE,speed
as1t,497,1,1,0.4424,TRUE,accuracy
as1t,498,1,1,0.5013,TRUE,neutral
as1t,499,1,1,0.3494,TRUE,speed
as1t,500,1,1,0.3663,TRUE,speed
as1t,501,1,1,0.6872,TRUE,accuracy
as1t,503,2,2,0.3457,TRUE,speed
as1t,504,1,2,0.3136,FALSE,speed
as1t,505,2,2,0.294,TRUE,speed
as1t,506,2,2,0.2633,TRUE,neutral
as1t,507,2,2,0.2793,TRUE,accuracy
as1t,508,1,2,0.3105,FALSE,neutral
as1t,509,1,1,0.3158,TRUE,neutral
as1t,510,2,1,0.3589,FALSE,accuracy
as1t,512,2,2,0.2796,TRUE,speed
as1t,513,2,2,0.2578,TRUE,speed
as1t,516,1,2,0.3007,FALSE,neutral
as1t,517,1,1,0.5909,TRUE,neutral
as1t,518,1,1,0.4864,TRUE,neutral
as1t,519,1,1,0.4821,TRUE,accuracy
as1t,520,1,1,0.4931,TRUE,neutral
as1t,521,2,2,0.383,TRUE,accuracy
as1t,522,1,2,0.3154,FALSE,speed
as1t,523,1,1,0.3949,TRUE,speed
as1t,524,2,2,0.4983,TRUE,neutral
as1t,525,1,1,0.6683,TRUE,accuracy
as1t,526,2,2,0.6242,TRUE,speed
as1t,527,1,2,0.2692,FALSE,speed
as1t,528,2,2,0.3091,TRUE,accuracy
as1t,529,2,1,0.449,FALSE,accuracy
as1t,530,1,2,0.3353,FALSE,neutral
as1t,531,1,1,0.466,TRUE,accuracy
as1t,532,2,2,0.4097,TRUE,accuracy
as1t,533,2,1,0.3959,FALSE,neutral
as1t,534,2,2,0.4376,TRUE,accuracy
as1t,535,2,1,0.4254,FALSE,speed
as1t,536,1,2,0.4713,FALSE,neutral
as1t,537,1,1,0.5533,TRUE,neutral
as1t,538,1,1,0.5079,TRUE,accuracy
as1t,539,2,2,0.4729,TRUE,speed
as1t,540,2,1,0.5634,FALSE,speed
as1t,541,2,2,0.373,TRUE,accuracy
as1t,542,1,1,0.5239,TRUE,accuracy
as1t,543,1,2,0.3659,FALSE,neutral
as1t,544,2,2,0.4424,TRUE,speed
as1t,545,2,2,0.3462,TRUE,accuracy
as1t,546,1,1,0.4674,TRUE,neutral
as1t,547,1,1,0.404,TRUE,neutral
as1t,548,2,2,0.4814,TRUE,speed
as1t,549,2,2,0.3433,TRUE,neutral
as1t,550,1,2,0.369,FALSE,neutral
as1t,551,1,1,0.4215,TRUE,accuracy
as1t,552,1,2,0.4745,FALSE,neutral
as1t,553,2,1,0.4393,FALSE,accuracy
as1t,554,2,2,0.3641,TRUE,accuracy
as1t,555,1,1,0.5782,TRUE,accuracy
as1t,556,2,2,0.5016,TRUE,neutral
as1t,557,2,2,0.4742,TRUE,accuracy
as1t,558,1,1,0.7236,TRUE,accuracy
as1t,560,1,1,0.4133,TRUE,accuracy
as1t,561,2,2,0.6011,TRUE,neutral
as1t,562,2,1,0.4981,FALSE,neutral
as1t,563,1,1,0.6303,TRUE,speed
as1t,565,1,1,0.45,TRUE,accuracy
as1t,566,1,2,0.3239,FALSE,accuracy
as1t,567,2,1,0.7392,FALSE,speed
as1t,568,2,2,0.3461,TRUE,accuracy
as1t,569,1,1,0.6793,TRUE,neutral
as1t,570,2,2,0.4375,TRUE,neutral
as1t,571,1,2,0.4319,FALSE,accuracy
as1t,572,2,1,0.3065,FALSE,speed
as1t,573,2,1,0.433,FALSE,neutral
as1t,574,2,2,0.4324,TRUE,neutral
as1t,575,2,2,0.4719,TRUE,neutral
as1t,576,1,1,0.4404,TRUE,neutral
as1t,577,1,1,0.6317,TRUE,accuracy
as1t,578,2,2,0.3505,TRUE,neutral
as1t,579,2,2,0.4133,TRUE,accuracy
as1t,580,1,1,0.4387,TRUE,neutral
as1t,581,1,1,0.4832,TRUE,speed
as1t,582,1,1,0.4816,TRUE,accuracy
as1t,583,2,2,0.4933,TRUE,speed
as1t,584,2,1,0.6091,FALSE,accuracy
as1t,585,2,2,0.4465,TRUE,accuracy
as1t,586,1,2,0.3335,FALSE,speed
as1t,587,2,1,0.5856,FALSE,speed
as1t,588,2,2,0.5166,TRUE,speed
as1t,589,1,1,0.5371,TRUE,speed
as1t,590,2,2,0.4332,TRUE,speed
as1t,591,1,1,0.6427,TRUE,neutral
as1t,593,2,2,0.4395,TRUE,neutral
as1t,594,2,2,0.4116,TRUE,accuracy
as1t,595,2,2,0.4436,TRUE,speed
as1t,596,1,1,0.3622,TRUE,accuracy
as1t,597,1,1,0.3952,TRUE,neutral
as1t,598,2,2,0.3421,TRUE,speed
as1t,599,2,1,0.4238,FALSE,accuracy
as1t,600,1,1,0.4332,TRUE,speed
as1t,601,1,1,0.5474,TRUE,accuracy
as1t,602,1,2,0.2985,FALSE,speed
as1t,603,1,1,0.529,TRUE,accuracy
as1t,605,1,1,0.5264,TRUE,neutral
as1t,606,2,2,0.3902,TRUE,speed
as1t,607,2,2,0.5512,TRUE,neutral
as1t,608,1,1,0.4517,TRUE,speed
as1t,609,1,2,0.4979,FALSE,neutral
as1t,610,1,1,0.6357,TRUE,neutral
as1t,611,1,1,0.4499,TRUE,accuracy
